time	geo	champ	rh	rbh
2025-01-01	DE	md	NA	NA
2025-01-01	DE	mdhfi	NA	NA
2025-01-01	DE	mdhi	NA	NA
2025-01-01	DE	mdhifi	NA	NA
2025-01-01	DE	mdhim	NA	NA
2025-01-01	DE	mdhimfi	NA	NA
2025-01-01	DE	tb	NA	NA
2025-01-01	FR	md	NA	NA
2025-01-01	FR	mdhfi	NA	NA
2025-01-01	FR	mdhi	NA	NA
2025-01-01	FR	mdhifi	NA	NA
2025-01-01	FR	mdhim	NA	NA
2025-01-01	FR	mdhimfi	NA	NA
2025-01-01	FR	tb	NA	NA
2025-01-01	IT	md	NA	NA
2025-01-01	IT	mdhfi	NA	NA
2025-01-01	IT	mdhi	NA	NA
2025-01-01	IT	mdhifi	NA	NA
2025-01-01	IT	mdhim	NA	NA
2025-01-01	IT	mdhimfi	NA	NA
2025-01-01	IT	tb	NA	NA
2025-01-01	ES	md	NA	NA
2025-01-01	ES	mdhfi	NA	NA
2025-01-01	ES	mdhi	NA	NA
2025-01-01	ES	mdhifi	NA	NA
2025-01-01	ES	mdhim	NA	NA
2025-01-01	ES	mdhimfi	NA	NA
2025-01-01	ES	tb	NA	NA
2025-01-01	NL	md	NA	NA
2025-01-01	NL	mdhfi	NA	NA
2025-01-01	NL	mdhi	NA	NA
2025-01-01	NL	mdhifi	NA	NA
2025-01-01	NL	mdhim	NA	NA
2025-01-01	NL	mdhimfi	NA	NA
2025-01-01	NL	tb	NA	NA
2025-01-01	BE	md	NA	NA
2025-01-01	BE	mdhfi	NA	NA
2025-01-01	BE	mdhi	NA	NA
2025-01-01	BE	mdhifi	NA	NA
2025-01-01	BE	mdhim	NA	NA
2025-01-01	BE	mdhimfi	NA	NA
2025-01-01	BE	tb	NA	NA
2024-01-01	DE	md	0.023668852776678507	0.03282075914395347
2024-01-01	DE	mdhfi	0.02329638507083672	0.031452912308101655
2024-01-01	DE	mdhi	0.05302826405909667	0.07988508052796202
2024-01-01	DE	mdhifi	0.053526783816241964	0.07833950410364975
2024-01-01	DE	mdhim	0.04371547041082529	0.0637035197393871
2024-01-01	DE	mdhimfi	0.03927876445740444	0.05748671431410437
2024-01-01	DE	tb	0.01956665793832699	0.027446348713085444
2024-01-01	FR	md	0.03306790806149514	0.042127363961791855
2024-01-01	FR	mdhfi	0.03746884551418534	0.04498968567140397
2024-01-01	FR	mdhi	0.047376049658310146	0.08318610238889274
2024-01-01	FR	mdhifi	0.06676756813350217	0.09811893569680474
2024-01-01	FR	mdhim	0.03549540546706806	0.05539523477905118
2024-01-01	FR	mdhimfi	0.03207251497142376	0.04894667096289128
2024-01-01	FR	tb	0.029667603265647956	0.03756771549170749
2024-01-01	IT	md	NA	NA
2024-01-01	IT	mdhfi	NA	NA
2024-01-01	IT	mdhi	NA	NA
2024-01-01	IT	mdhifi	NA	NA
2024-01-01	IT	mdhim	NA	NA
2024-01-01	IT	mdhimfi	NA	NA
2024-01-01	IT	tb	NA	NA
2024-01-01	ES	md	NA	NA
2024-01-01	ES	mdhfi	NA	NA
2024-01-01	ES	mdhi	NA	NA
2024-01-01	ES	mdhifi	NA	NA
2024-01-01	ES	mdhim	NA	NA
2024-01-01	ES	mdhimfi	NA	NA
2024-01-01	ES	tb	NA	NA
2024-01-01	NL	md	0.06360881553849383	0.08271717339163906
2024-01-01	NL	mdhfi	0.061415377625082715	0.07783045776231247
2024-01-01	NL	mdhi	0.1373370216331593	0.18705225971865946
